i_id,商品名称,sku_id,sku名称,规格属性,条码,成本价,售价,重量(kg),长(cm),宽(cm),高(cm),库存数量,品牌,供应商,标签,类目,图片URL,状态,来源接口
N210701-C,梅花鹿收纳架侧板,N210701-CS11,梅花鹿收纳架侧板,琥珀黄,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210702-C,三层泡泡龙收纳架侧板,N210702-CS09,三层泡泡龙收纳架侧板,琉璃绿,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210703-C,四层泡泡龙收纳架侧板,N210703-CS09,四层泡泡龙收纳架侧板,琉璃绿,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210707-C01,7号上扶手-A,N210707-C01S13,7号上扶手-A,暮云灰,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210707-C02,7号上扶手-B,N210707-C02S13,7号上扶手-B,暮云灰,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210708-C01,7号下扶手-A,N210708-C01S15,7号下扶手-A,溶月灰,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210708-C02,7号下扶手-B,N210708-C02S15,7号下扶手-B,溶月灰,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210709-C,7号上滑道,N210709-CS06,7号上滑道,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210710-C,7号下滑道,N210710-CS13,7号下滑道,暮云灰,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210711L-C,太空人旋转滑梯侧板-L,N210711L-CS06,太空人旋转滑梯侧板-L,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
